104.20.53.44:443#🇩🇪 法兰克福(FRA)-7.62MB/s
198.41.208.126:443#🇭🇰 香港(HKG)-21.29MB/s
104.17.151.235:443#🇭🇰 香港(HKG)-21.27MB/s
104.17.211.1:443#🇭🇰 香港(HKG)-19.72MB/s
104.17.30.39:443#🇭🇰 香港(HKG)-18.47MB/s
104.16.246.50:443#🇭🇰 香港(HKG)-18.11MB/s
104.19.145.150:443#🇭🇰 香港(HKG)-17.44MB/s
104.19.61.253:443#🇭🇰 香港(HKG)-17.02MB/s
198.41.208.151:443#🇭🇰 香港(HKG)-16.73MB/s
104.17.170.47:443#🇭🇰 香港(HKG)-16.69MB/s
104.17.54.109:443#🇭🇰 香港(HKG)-16.61MB/s
104.17.110.240:443#🇭🇰 香港(HKG)-16.14MB/s
104.17.56.139:443#🇭🇰 香港(HKG)-15.94MB/s
104.17.148.16:443#🇭🇰 香港(HKG)-15.93MB/s
104.19.39.161:443#🇭🇰 香港(HKG)-15.75MB/s
104.25.246.235:443#🇭🇰 香港(HKG)-15.57MB/s
198.41.208.220:443#🇭🇰 香港(HKG)-15.54MB/s
172.64.157.47:443#🇭🇰 香港(HKG)-15.53MB/s
104.19.58.205:443#🇭🇰 香港(HKG)-15.35MB/s
104.17.145.127:443#🇭🇰 香港(HKG)-15.00MB/s
198.41.209.167:443#🇭🇰 香港(HKG)-14.97MB/s
108.162.198.73:443#🇭🇰 香港(HKG)-14.93MB/s
104.17.215.29:443#🇭🇰 香港(HKG)-14.72MB/s
104.17.139.235:443#🇭🇰 香港(HKG)-14.70MB/s
104.25.240.192:443#🇭🇰 香港(HKG)-14.46MB/s
104.25.245.171:443#🇭🇰 香港(HKG)-13.96MB/s
104.25.251.211:443#🇭🇰 香港(HKG)-13.84MB/s
198.41.209.23:443#🇭🇰 香港(HKG)-13.62MB/s
104.17.132.164:443#🇭🇰 香港(HKG)-13.62MB/s
104.25.248.185:443#🇭🇰 香港(HKG)-13.61MB/s
104.25.251.164:443#🇭🇰 香港(HKG)-13.54MB/s
104.17.181.212:443#🇭🇰 香港(HKG)-13.42MB/s
104.18.33.151:443#🇭🇰 香港(HKG)-13.38MB/s
104.17.60.72:443#🇭🇰 香港(HKG)-13.38MB/s
104.19.151.8:443#🇭🇰 香港(HKG)-13.27MB/s
104.19.58.61:443#🇭🇰 香港(HKG)-13.19MB/s
108.162.198.70:443#🇭🇰 香港(HKG)-12.93MB/s
104.19.38.118:443#🇭🇰 香港(HKG)-12.81MB/s
104.16.152.97:443#🇭🇰 香港(HKG)-12.76MB/s
104.18.91.219:443#🇭🇰 香港(HKG)-12.75MB/s
104.25.251.223:443#🇭🇰 香港(HKG)-12.73MB/s
104.16.255.91:443#🇭🇰 香港(HKG)-12.71MB/s
104.19.36.33:443#🇭🇰 香港(HKG)-12.57MB/s
104.17.52.183:443#🇭🇰 香港(HKG)-12.45MB/s
172.64.156.142:443#🇭🇰 香港(HKG)-12.11MB/s
104.19.43.188:443#🇭🇰 香港(HKG)-12.09MB/s
104.25.251.89:443#🇭🇰 香港(HKG)-12.03MB/s
104.16.147.156:443#🇭🇰 香港(HKG)-11.99MB/s
108.162.198.210:443#🇭🇰 香港(HKG)-11.96MB/s
104.25.243.215:443#🇭🇰 香港(HKG)-11.90MB/s
104.17.112.85:443#🇭🇰 香港(HKG)-11.87MB/s
104.17.166.241:443#🇭🇰 香港(HKG)-11.76MB/s
198.41.209.17:443#🇭🇰 香港(HKG)-11.63MB/s
108.162.198.208:443#🇭🇰 香港(HKG)-11.58MB/s
104.17.170.196:443#🇭🇰 香港(HKG)-11.43MB/s
108.162.198.112:443#🇭🇰 香港(HKG)-11.38MB/s
104.25.250.177:443#🇭🇰 香港(HKG)-11.38MB/s
104.17.120.92:443#🇭🇰 香港(HKG)-11.30MB/s
104.25.242.133:443#🇭🇰 香港(HKG)-11.29MB/s
104.17.96.19:443#🇭🇰 香港(HKG)-11.27MB/s
104.17.145.48:443#🇭🇰 香港(HKG)-11.27MB/s
104.17.128.180:443#🇭🇰 香港(HKG)-11.21MB/s
198.41.209.231:443#🇭🇰 香港(HKG)-11.14MB/s
104.17.103.184:443#🇭🇰 香港(HKG)-11.10MB/s
172.64.144.60:443#🇭🇰 香港(HKG)-11.09MB/s
108.162.198.17:443#🇭🇰 香港(HKG)-11.08MB/s
104.25.247.208:443#🇭🇰 香港(HKG)-11.08MB/s
104.17.139.250:443#🇭🇰 香港(HKG)-10.95MB/s
104.17.180.235:443#🇭🇰 香港(HKG)-10.91MB/s
104.19.36.198:443#🇭🇰 香港(HKG)-10.90MB/s
104.18.23.19:443#🇭🇰 香港(HKG)-10.86MB/s
104.19.42.142:443#🇭🇰 香港(HKG)-10.86MB/s
104.17.18.112:443#🇭🇰 香港(HKG)-10.82MB/s
104.17.126.214:443#🇭🇰 香港(HKG)-10.82MB/s
104.17.53.255:443#🇭🇰 香港(HKG)-10.81MB/s
104.17.151.111:443#🇭🇰 香港(HKG)-10.79MB/s
104.17.125.149:443#🇭🇰 香港(HKG)-10.76MB/s
104.17.222.31:443#🇭🇰 香港(HKG)-10.70MB/s
104.16.246.167:443#🇭🇰 香港(HKG)-10.61MB/s
104.17.213.190:443#🇭🇰 香港(HKG)-10.61MB/s
108.162.198.171:443#🇭🇰 香港(HKG)-10.60MB/s
104.17.183.99:443#🇭🇰 香港(HKG)-10.56MB/s
104.17.135.159:443#🇭🇰 香港(HKG)-10.52MB/s
104.19.37.234:443#🇭🇰 香港(HKG)-10.48MB/s
104.25.252.147:443#🇭🇰 香港(HKG)-10.48MB/s
108.162.198.139:443#🇭🇰 香港(HKG)-10.48MB/s
104.25.246.105:443#🇭🇰 香港(HKG)-10.47MB/s
198.41.209.55:443#🇭🇰 香港(HKG)-10.46MB/s
104.17.138.233:443#🇭🇰 香港(HKG)-10.44MB/s
104.17.63.165:443#🇭🇰 香港(HKG)-10.41MB/s
104.25.250.252:443#🇭🇰 香港(HKG)-10.35MB/s
198.41.209.93:443#🇭🇰 香港(HKG)-10.35MB/s
104.17.138.102:443#🇭🇰 香港(HKG)-10.33MB/s
104.17.178.4:443#🇭🇰 香港(HKG)-10.29MB/s
104.25.242.208:443#🇭🇰 香港(HKG)-10.22MB/s
104.25.254.194:443#🇭🇰 香港(HKG)-10.05MB/s
104.16.150.102:443#🇭🇰 香港(HKG)-9.95MB/s
104.16.254.207:443#🇭🇰 香港(HKG)-9.93MB/s
104.17.132.83:443#🇭🇰 香港(HKG)-9.92MB/s
104.26.8.188:443#🇭🇰 香港(HKG)-9.84MB/s
198.41.208.135:443#🇭🇰 香港(HKG)-9.79MB/s
104.25.254.202:443#🇭🇰 香港(HKG)-9.77MB/s
104.17.52.24:443#🇭🇰 香港(HKG)-9.64MB/s
104.25.247.172:443#🇭🇰 香港(HKG)-9.59MB/s
104.25.240.190:443#🇭🇰 香港(HKG)-9.58MB/s
108.162.198.5:443#🇭🇰 香港(HKG)-9.57MB/s
104.25.247.57:443#🇭🇰 香港(HKG)-9.55MB/s
104.17.133.178:443#🇭🇰 香港(HKG)-9.55MB/s
104.25.250.230:443#🇭🇰 香港(HKG)-9.54MB/s
108.162.198.108:443#🇭🇰 香港(HKG)-9.53MB/s
108.162.198.197:443#🇭🇰 香港(HKG)-9.53MB/s
104.25.245.122:443#🇭🇰 香港(HKG)-9.50MB/s
108.162.198.131:443#🇭🇰 香港(HKG)-9.47MB/s
104.25.242.12:443#🇭🇰 香港(HKG)-9.45MB/s
172.64.156.125:443#🇭🇰 香港(HKG)-9.44MB/s
104.19.60.213:443#🇭🇰 香港(HKG)-9.42MB/s
104.25.248.159:443#🇭🇰 香港(HKG)-9.39MB/s
108.162.198.152:443#🇭🇰 香港(HKG)-9.34MB/s
104.25.254.192:443#🇭🇰 香港(HKG)-9.33MB/s
104.25.241.96:443#🇭🇰 香港(HKG)-9.33MB/s
104.25.253.114:443#🇭🇰 香港(HKG)-9.32MB/s
104.25.253.238:443#🇭🇰 香港(HKG)-9.31MB/s
108.162.198.76:443#🇭🇰 香港(HKG)-9.30MB/s
104.25.255.2:443#🇭🇰 香港(HKG)-9.26MB/s
104.25.248.137:443#🇭🇰 香港(HKG)-9.24MB/s
104.17.141.252:443#🇭🇰 香港(HKG)-9.24MB/s
108.162.198.30:443#🇭🇰 香港(HKG)-9.13MB/s
104.25.252.0:443#🇭🇰 香港(HKG)-9.11MB/s
108.162.198.57:443#🇭🇰 香港(HKG)-8.92MB/s
104.25.252.223:443#🇭🇰 香港(HKG)-8.90MB/s
104.17.141.229:443#🇭🇰 香港(HKG)-8.89MB/s
104.25.247.113:443#🇭🇰 香港(HKG)-8.80MB/s
104.17.138.10:443#🇭🇰 香港(HKG)-8.71MB/s
108.162.198.75:443#🇭🇰 香港(HKG)-8.67MB/s
108.162.198.122:443#🇭🇰 香港(HKG)-8.47MB/s
104.25.246.35:443#🇭🇰 香港(HKG)-8.22MB/s
104.17.143.83:443#🇭🇰 香港(HKG)-8.13MB/s
108.162.198.233:443#🇭🇰 香港(HKG)-8.10MB/s
108.162.198.174:443#🇭🇰 香港(HKG)-8.05MB/s
104.17.140.5:443#🇭🇰 香港(HKG)-7.85MB/s
108.162.198.130:443#🇭🇰 香港(HKG)-7.34MB/s
104.25.254.92:443#🇭🇰 香港(HKG)-7.32MB/s
104.17.129.218:443#🇭🇰 香港(HKG)-7.31MB/s
108.162.198.56:443#🇭🇰 香港(HKG)-7.30MB/s
104.17.141.160:443#🇭🇰 香港(HKG)-7.02MB/s
108.162.198.13:443#🇭🇰 香港(HKG)-6.99MB/s
108.162.198.43:443#🇭🇰 香港(HKG)-6.65MB/s
108.162.198.128:443#🇭🇰 香港(HKG)-6.51MB/s
108.162.198.21:443#🇭🇰 香港(HKG)-6.30MB/s
104.17.140.161:443#🇭🇰 香港(HKG)-5.94MB/s
108.162.198.248:443#🇭🇰 香港(HKG)-5.78MB/s
108.162.198.190:443#🇭🇰 香港(HKG)-4.97MB/s
108.162.198.60:443#🇺🇸 圣何塞(SJC)-16.45MB/s
108.162.198.109:443#🇺🇸 圣何塞(SJC)-14.83MB/s
108.162.198.11:443#🇺🇸 圣何塞(SJC)-14.78MB/s
104.17.139.57:443#🇺🇸 圣何塞(SJC)-14.25MB/s
104.17.137.7:443#🇺🇸 圣何塞(SJC)-11.73MB/s
108.162.198.105:443#🇺🇸 圣何塞(SJC)-9.76MB/s
104.17.246.186:443#🇺🇸 西雅图(SEA)-9.48MB/s
172.67.165.36:443#🇺🇸 西雅图(SEA)-9.35MB/s
108.162.198.175:443#🇺🇸 圣何塞(SJC)-9.35MB/s
172.66.47.14:443#🇺🇸 西雅图(SEA)-9.29MB/s
172.67.174.231:443#🇺🇸 西雅图(SEA)-9.29MB/s
108.162.198.196:443#🇺🇸 圣何塞(SJC)-9.29MB/s
108.162.198.214:443#🇺🇸 圣何塞(SJC)-9.26MB/s
104.17.141.171:443#🇺🇸 圣何塞(SJC)-9.25MB/s
104.17.140.182:443#🇺🇸 圣何塞(SJC)-9.25MB/s
172.67.168.234:443#🇺🇸 西雅图(SEA)-9.12MB/s
104.21.26.54:443#🇺🇸 西雅图(SEA)-9.06MB/s
104.17.231.30:443#🇺🇸 西雅图(SEA)-9.00MB/s
104.26.13.156:443#🇺🇸 西雅图(SEA)-8.96MB/s
104.21.21.196:443#🇺🇸 西雅图(SEA)-8.91MB/s
104.18.3.248:443#🇺🇸 西雅图(SEA)-8.88MB/s
104.17.140.100:443#🇺🇸 圣何塞(SJC)-8.88MB/s
104.17.136.208:443#🇺🇸 圣何塞(SJC)-8.82MB/s
104.16.172.202:443#🇺🇸 洛杉矶(LAX)-8.75MB/s
198.41.219.74:443#🇺🇸 圣何塞(SJC)-8.74MB/s
104.21.35.152:443#🇺🇸 圣何塞(SJC)-8.74MB/s
104.26.7.6:443#🇺🇸 西雅图(SEA)-8.73MB/s
172.67.214.126:443#🇺🇸 圣何塞(SJC)-8.62MB/s
104.26.9.250:443#🇺🇸 西雅图(SEA)-8.53MB/s
104.21.30.29:443#🇺🇸 西雅图(SEA)-8.52MB/s
172.67.170.118:443#🇺🇸 西雅图(SEA)-8.47MB/s
104.18.68.59:443#🇺🇸 洛杉矶(LAX)-8.44MB/s
198.41.219.240:443#🇺🇸 圣何塞(SJC)-8.42MB/s
172.67.70.250:443#🇺🇸 西雅图(SEA)-8.40MB/s
172.67.211.43:443#🇺🇸 圣何塞(SJC)-8.37MB/s
104.25.25.84:443#🇺🇸 洛杉矶(LAX)-8.36MB/s
104.26.7.127:443#🇺🇸 西雅图(SEA)-8.36MB/s
104.17.240.162:443#🇺🇸 西雅图(SEA)-8.31MB/s
104.25.74.8:443#🇺🇸 洛杉矶(LAX)-8.28MB/s
188.114.96.72:443#🇺🇸 洛杉矶(LAX)-8.27MB/s
104.24.26.242:443#🇺🇸 洛杉矶(LAX)-8.23MB/s
104.27.203.241:443#🇺🇸 洛杉矶(LAX)-8.22MB/s
104.21.26.34:443#🇺🇸 西雅图(SEA)-8.22MB/s
198.41.219.92:443#🇺🇸 圣何塞(SJC)-8.20MB/s
104.26.14.199:443#🇺🇸 西雅图(SEA)-8.18MB/s
172.67.232.210:443#🇺🇸 洛杉矶(LAX)-8.16MB/s
104.21.34.234:443#🇺🇸 圣何塞(SJC)-8.13MB/s
103.31.4.95:443#🇺🇸 丹佛(DEN)-8.08MB/s
172.64.231.209:443#🇺🇸 洛杉矶(LAX)-8.06MB/s
108.162.198.238:443#🇺🇸 圣何塞(SJC)-8.05MB/s
104.17.246.56:443#🇺🇸 西雅图(SEA)-8.04MB/s
104.21.64.188:443#🇺🇸 圣何塞(SJC)-8.03MB/s
104.21.81.55:443#🇺🇸 圣何塞(SJC)-8.00MB/s
104.16.186.8:443#🇺🇸 洛杉矶(LAX)-7.98MB/s
104.21.88.126:443#🇺🇸 圣何塞(SJC)-7.90MB/s
104.24.229.115:443#🇺🇸 洛杉矶(LAX)-7.86MB/s
188.114.99.35:443#🇺🇸 洛杉矶(LAX)-7.86MB/s
172.67.64.118:443#🇺🇸 西雅图(SEA)-7.86MB/s
103.31.4.108:443#🇺🇸 丹佛(DEN)-7.86MB/s
104.26.11.80:443#🇺🇸 西雅图(SEA)-7.82MB/s
162.159.237.134:443#🇺🇸 圣何塞(SJC)-7.80MB/s
104.17.229.117:443#🇺🇸 西雅图(SEA)-7.78MB/s
172.67.165.91:443#🇺🇸 西雅图(SEA)-7.77MB/s
104.21.93.88:443#🇺🇸 圣何塞(SJC)-7.77MB/s
104.17.232.49:443#🇺🇸 西雅图(SEA)-7.72MB/s
104.26.6.248:443#🇺🇸 西雅图(SEA)-7.66MB/s
104.27.104.249:443#🇺🇸 洛杉矶(LAX)-7.61MB/s
108.162.198.87:443#🇺🇸 圣何塞(SJC)-7.61MB/s
172.66.41.87:443#🇺🇸 西雅图(SEA)-7.60MB/s
104.21.45.201:443#🇺🇸 圣何塞(SJC)-7.58MB/s
103.31.4.181:443#🇺🇸 丹佛(DEN)-7.57MB/s
104.25.175.248:443#🇺🇸 洛杉矶(LAX)-7.52MB/s
104.21.67.212:443#🇺🇸 圣何塞(SJC)-7.52MB/s
104.26.14.16:443#🇺🇸 西雅图(SEA)-7.50MB/s
104.21.80.102:443#🇺🇸 圣何塞(SJC)-7.47MB/s
104.18.6.254:443#🇺🇸 西雅图(SEA)-7.46MB/s
172.67.221.162:443#🇺🇸 圣何塞(SJC)-7.45MB/s
103.31.4.98:443#🇺🇸 丹佛(DEN)-7.44MB/s
104.16.130.70:443#🇺🇸 洛杉矶(LAX)-7.42MB/s
104.24.163.31:443#🇺🇸 洛杉矶(LAX)-7.41MB/s
103.31.4.142:443#🇺🇸 华盛顿杜勒斯(IAD)-7.40MB/s
104.21.72.167:443#🇺🇸 圣何塞(SJC)-7.39MB/s
103.31.4.220:443#🇺🇸 丹佛(DEN)-7.37MB/s
162.159.237.69:443#🇺🇸 圣何塞(SJC)-7.37MB/s
172.66.46.221:443#🇺🇸 西雅图(SEA)-7.35MB/s
172.67.145.150:443#🇺🇸 西雅图(SEA)-7.34MB/s
103.31.4.140:443#🇺🇸 丹佛(DEN)-7.34MB/s
172.67.167.104:443#🇺🇸 西雅图(SEA)-7.33MB/s
104.21.44.109:443#🇺🇸 圣何塞(SJC)-7.33MB/s
104.21.24.42:443#🇺🇸 西雅图(SEA)-7.32MB/s
104.21.18.160:443#🇺🇸 西雅图(SEA)-7.31MB/s
104.25.224.119:443#🇺🇸 洛杉矶(LAX)-7.30MB/s
104.25.38.194:443#🇺🇸 洛杉矶(LAX)-7.30MB/s
172.67.165.217:443#🇺🇸 西雅图(SEA)-7.30MB/s
104.21.72.151:443#🇺🇸 圣何塞(SJC)-7.29MB/s
104.24.225.78:443#🇺🇸 洛杉矶(LAX)-7.27MB/s
104.19.184.98:443#🇺🇸 洛杉矶(LAX)-7.27MB/s
104.26.11.203:443#🇺🇸 西雅图(SEA)-7.27MB/s
104.19.131.84:443#🇺🇸 圣何塞(SJC)-7.27MB/s
104.26.15.123:443#🇺🇸 西雅图(SEA)-7.26MB/s
172.67.216.156:443#🇺🇸 圣何塞(SJC)-7.26MB/s
198.41.219.203:443#🇺🇸 圣何塞(SJC)-7.25MB/s
103.31.4.133:443#🇺🇸 丹佛(DEN)-7.24MB/s
104.21.75.55:443#🇺🇸 圣何塞(SJC)-7.24MB/s
104.26.0.196:443#🇺🇸 西雅图(SEA)-7.21MB/s
104.17.140.228:443#🇺🇸 圣何塞(SJC)-7.19MB/s
104.21.38.134:443#🇺🇸 圣何塞(SJC)-7.17MB/s
104.19.213.231:443#🇺🇸 洛杉矶(LAX)-7.16MB/s
173.245.49.197:443#🇺🇸 洛杉矶(LAX)-7.13MB/s
103.31.4.10:443#🇺🇸 华盛顿杜勒斯(IAD)-7.13MB/s
103.31.4.226:443#🇺🇸 丹佛(DEN)-7.13MB/s
104.18.157.104:443#🇺🇸 洛杉矶(LAX)-7.11MB/s
103.31.4.203:443#🇺🇸 丹佛(DEN)-7.11MB/s
104.18.6.133:443#🇺🇸 西雅图(SEA)-7.11MB/s
104.16.141.243:443#🇺🇸 洛杉矶(LAX)-7.10MB/s
104.21.68.228:443#🇺🇸 圣何塞(SJC)-7.09MB/s
103.21.244.71:443#🇺🇸 洛杉矶(LAX)-7.08MB/s
172.67.157.193:443#🇺🇸 西雅图(SEA)-7.06MB/s
172.67.172.108:443#🇺🇸 西雅图(SEA)-7.06MB/s
104.21.25.162:443#🇺🇸 西雅图(SEA)-7.05MB/s
104.17.238.209:443#🇺🇸 西雅图(SEA)-7.04MB/s
172.67.69.128:443#🇺🇸 西雅图(SEA)-7.01MB/s
103.31.4.115:443#🇺🇸 华盛顿杜勒斯(IAD)-7.00MB/s
104.21.16.95:443#🇺🇸 西雅图(SEA)-7.00MB/s
108.162.193.154:443#🇺🇸 洛杉矶(LAX)-6.99MB/s
104.21.94.17:443#🇺🇸 圣何塞(SJC)-6.98MB/s
104.18.2.18:443#🇺🇸 西雅图(SEA)-6.96MB/s
104.17.239.129:443#🇺🇸 西雅图(SEA)-6.94MB/s
104.21.89.238:443#🇺🇸 圣何塞(SJC)-6.93MB/s
104.19.239.137:443#🇺🇸 洛杉矶(LAX)-6.92MB/s
198.41.219.141:443#🇺🇸 圣何塞(SJC)-6.91MB/s
198.41.219.252:443#🇺🇸 圣何塞(SJC)-6.91MB/s
172.67.151.227:443#🇺🇸 西雅图(SEA)-6.89MB/s
104.17.240.105:443#🇺🇸 西雅图(SEA)-6.88MB/s
103.31.4.216:443#🇺🇸 丹佛(DEN)-6.84MB/s
103.31.4.215:443#🇺🇸 丹佛(DEN)-6.84MB/s
172.67.159.135:443#🇺🇸 西雅图(SEA)-6.81MB/s
108.162.198.45:443#🇺🇸 圣何塞(SJC)-6.81MB/s
104.18.9.145:443#🇺🇸 西雅图(SEA)-6.80MB/s
